filename,result,iterations,time_sec
./aim/satisfied/aim-100-1_6-yes1-1.cnf,SAT,4113,0.2206
./aim/satisfied/aim-100-1_6-yes1-2.cnf,SAT,4539,0.2243
./aim/satisfied/aim-100-1_6-yes1-3.cnf,SAT,7779,0.5032
./aim/satisfied/aim-100-1_6-yes1-4.cnf,SAT,2677,0.1144
./aim/satisfied/aim-100-2_0-yes1-1.cnf,SAT,21585,1.2876
./aim/satisfied/aim-100-2_0-yes1-2.cnf,SAT,3861,0.2269
./aim/satisfied/aim-100-2_0-yes1-3.cnf,SAT,5187,0.3181
./aim/satisfied/aim-100-2_0-yes1-4.cnf,SAT,4683,0.2887
./aim/satisfied/aim-100-3_4-yes1-1.cnf,SAT,4775,0.3890
./aim/satisfied/aim-100-3_4-yes1-2.cnf,SAT,4373,0.3514
./aim/satisfied/aim-100-3_4-yes1-3.cnf,SAT,4421,0.3527
./aim/satisfied/aim-100-6_0-yes1-1.cnf,SAT,7461,0.9777
./aim/satisfied/aim-100-6_0-yes1-2.cnf,SAT,10295,1.4754
./aim/satisfied/aim-100-6_0-yes1-3.cnf,SAT,5473,0.6990
./aim/satisfied/aim-100-6_0-yes1-4.cnf,SAT,7733,1.0772
./aim/satisfied/aim-200-1_6-yes1-1.cnf,SAT,18847,1.9265
./aim/satisfied/aim-200-1_6-yes1-2.cnf,SAT,26003,3.3159
./aim/satisfied/aim-200-1_6-yes1-3.cnf,SAT,19033,2.1153
./aim/satisfied/aim-200-1_6-yes1-4.cnf,SAT,13251,1.4737
./aim/satisfied/aim-200-2_0-yes1-1.cnf,SAT,15447,2.1614
./aim/satisfied/aim-200-2_0-yes1-2.cnf,SAT,10931,1.3479
./aim/satisfied/aim-200-2_0-yes1-3.cnf,SAT,68853,9.6852
./aim/satisfied/aim-200-2_0-yes1-4.cnf,SAT,25947,4.1355
./aim/satisfied/aim-200-3_4-yes1-4.cnf,SAT,15521,2.5992
./aim/satisfied/aim-200-6_0-yes1-1.cnf,SAT,4719,1.0848
./aim/satisfied/aim-200-6_0-yes1-2.cnf,SAT,8635,2.0034
./aim/satisfied/aim-200-6_0-yes1-3.cnf,SAT,10119,2.4277
./aim/satisfied/aim-200-6_0-yes1-4.cnf,SAT,27601,7.5134
./aim/satisfied/aim-50-1_6-yes1-1.cnf,SAT,1803,0.0437
./aim/satisfied/aim-50-1_6-yes1-2.cnf,SAT,2743,0.0730
./aim/satisfied/aim-50-1_6-yes1-3.cnf,SAT,501,0.0098
./aim/satisfied/aim-50-1_6-yes1-4.cnf,SAT,689,0.0132
./aim/satisfied/aim-50-2_0-yes1-1.cnf,SAT,2067,0.0639
./aim/satisfied/aim-50-2_0-yes1-2.cnf,SAT,1753,0.0512
./aim/satisfied/aim-50-2_0-yes1-3.cnf,SAT,1121,0.0270
./aim/satisfied/aim-50-2_0-yes1-4.cnf,SAT,2055,0.0573
./aim/satisfied/aim-50-3_4-yes1-1.cnf,SAT,1667,0.0654
./aim/satisfied/aim-50-3_4-yes1-2.cnf,SAT,2855,0.1322
./aim/satisfied/aim-50-3_4-yes1-3.cnf,SAT,1261,0.0485
./aim/satisfied/aim-50-3_4-yes1-4.cnf,SAT,1249,0.0469
./aim/satisfied/aim-50-6_0-yes1-1.cnf,SAT,3219,0.2223
./aim/satisfied/aim-50-6_0-yes1-2.cnf,SAT,4129,0.3125
./aim/satisfied/aim-50-6_0-yes1-3.cnf,SAT,3437,0.2357
./aim/satisfied/aim-50-6_0-yes1-4.cnf,SAT,1215,0.0739
